source,benchmark,attack,f,aip_gated,aip_naive,aip_soft,aip_trust_only,confidence,ds_full,ds_onecoin,majority,oracle_channel,oracle_honest_majority,race,race_capself,race_full,race_ms,race_noclone,race_onecoin,race_rawclone,sac,self
live,boolq,coherent,0.1,0.6226851851851852,0.6226851851851852,0.6986111111111111,0.6226851851851852,0.6486111111111111,0.7791666666666667,0.7708333333333334,0.5333333333333333,0.9416666666666668,0.6666666666666666,0.8467592592592593,0.8467592592592593,0.8467592592592593,0.8467592592592593,0.7810185185185184,0.7949074074074073,0.8467592592592593,0.6699074074074075,0.6175925925925926
live,boolq,coherent,0.3,0.4398809523809524,0.4398809523809524,0.6577380952380952,0.4398809523809524,0.4523809523809524,0.975,0.8958333333333334,0.41250000000000003,0.9500000000000001,0.6333333333333333,0.8238095238095239,0.8238095238095239,0.8238095238095239,0.8238095238095239,0.9702380952380952,0.7976190476190476,0.8238095238095239,0.6875,0.6202380952380953
live,boolq,coherent,0.5,0.0,0.0,0.6024999999999999,0.0,0.08750000000000001,0.0,0.0,0.19999999999999998,0.9666666666666667,0.6208333333333333,0.8475,0.8475,0.8475,0.8475,1.0,0.8266666666666667,0.8475,0.0,0.6008333333333333
live,boolq,coherent,0.7,0.0,0.0,0.6527777777777778,0.0,0.0,0.0,0.0,0.0,0.9958333333333332,0.6416666666666667,0.8388888888888889,0.8388888888888889,0.8388888888888889,0.8388888888888889,1.0,0.7972222222222222,0.8388888888888889,0.0,0.6194444444444444
live,boolq,llm:collude,0.1,0.699537037037037,0.699537037037037,0.6856481481481481,0.699537037037037,0.7263888888888889,0.7625000000000001,0.7416666666666667,0.6666666666666666,0.7708333333333334,0.6666666666666666,0.7189814814814816,0.7189814814814816,0.7189814814814816,0.7189814814814816,0.7509259259259259,0.6124999999999999,0.7189814814814816,0.6851851851851851,0.6175925925925926
live,boolq,llm:collude,0.3,0.7160714285714286,0.7160714285714286,0.6738095238095237,0.7160714285714286,0.7571428571428571,0.7333333333333334,0.65,0.7000000000000001,0.7416666666666667,0.6333333333333333,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.7160714285714286,0.7238095238095238,0.6386904761904763,0.7160714285714286,0.6875,0.6202380952380953
live,boolq,llm:collude,0.5,0.5416666666666666,0.5416666666666666,0.5808333333333333,0.5416666666666666,0.6166666666666667,0.6,0.5416666666666666,0.6833333333333332,0.7166666666666667,0.6208333333333333,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.6191666666666666,0.6066666666666667,0.6749999999999999,0.5750000000000001,0.6008333333333333
live,boolq,llm:collude,0.7,0.5416666666666666,0.5416666666666666,0.6222222222222222,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.7291666666666666,0.6416666666666667,0.6263888888888889,0.6263888888888889,0.6263888888888889,0.6263888888888889,0.49722222222222223,0.5736111111111112,0.6263888888888889,0.5416666666666666,0.6194444444444444
live,boolq,llm:rushing,0.1,0.6935185185185185,0.6935185185185185,0.6925925925925926,0.6935185185185185,0.7013888888888888,0.7333333333333334,0.7458333333333332,0.6541666666666667,0.7374999999999999,0.6666666666666666,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.7412037037037037,0.6916666666666668,0.7152777777777778,0.6851851851851851,0.6175925925925926
live,boolq,llm:rushing,0.3,0.6892857142857144,0.6892857142857144,0.668452380952381,0.6892857142857144,0.7511904761904762,0.7166666666666667,0.6708333333333334,0.6833333333333332,0.7083333333333334,0.6333333333333333,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7321428571428571,0.544047619047619,0.7000000000000001,0.6976190476190477,0.6202380952380953
