source,benchmark,attack,f,aip_gated,aip_naive,aip_soft,aip_trust_only,confidence,ds_full,ds_onecoin,glad,iwmv,kos,mace,majority,oracle_channel,oracle_honest_majority,race,race_capself,race_full,race_ms,race_noclone,race_onecoin,race_rawclone,sac,self
live2,arc,coherent,0.1,0.5574074074074075,0.12453703703703704,0.5662037037037037,0.5680555555555555,0.5912037037037037,0.6333333333333333,0.6625,0.6375000000000001,0.6458333333333334,,0.6708333333333334,0.5666666666666667,0.7333333333333334,0.5962962962962963,0.7013888888888888,0.6888888888888888,0.6138888888888888,0.7013888888888888,0.6347222222222222,0.7013888888888888,0.7013888888888888,0.6046296296296296,0.5148148148148148
live2,arc,coherent,0.3,0.5714285714285714,0.17976190476190476,0.5720238095238095,0.3130952380952381,0.43214285714285716,0.5458333333333333,0.65,0.5833333333333334,0.6375000000000001,,0.6375000000000001,0.4583333333333333,0.725,0.5875,0.7053571428571428,0.6827380952380953,0.6190476190476191,0.7053571428571428,0.6208333333333333,0.7053571428571428,0.7053571428571428,0.5345238095238095,0.5208333333333334
live2,arc,coherent,0.5,0.4791666666666667,0.1925,0.48416666666666663,0.0,0.16083333333333333,0.0,0.0,0.0,0.0,,0.0,0.12083333333333333,0.7208333333333333,0.5675,0.6741666666666667,0.6358333333333334,0.5891666666666667,0.6741666666666667,0.6383333333333333,0.6741666666666667,0.6741666666666667,0.04083333333333334,0.51
live2,arc,coherent,0.7,0.42777777777777776,0.2847222222222222,0.43472222222222223,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6833333333333332,0.5111111111111111,0.5652777777777778,0.5444444444444444,0.5263888888888889,0.5652777777777778,0.6263888888888889,0.5652777777777778,0.5652777777777778,0.0,0.48333333333333334
live2,arc,llm:collude,0.1,0.5962962962962962,0.11157407407407406,0.5939814814814814,0.6236111111111111,0.612037037037037,0.6291666666666667,0.6708333333333334,0.6416666666666667,0.6458333333333334,,0.6708333333333334,0.6083333333333333,0.6875,0.5962962962962963,0.675462962962963,0.6458333333333334,0.5888888888888889,0.675462962962963,0.611574074074074,0.675462962962963,0.675462962962963,0.6074074074074074,0.5148148148148148
live2,arc,llm:collude,0.3,0.5684523809523809,0.14523809523809525,0.5714285714285714,0.43392857142857144,0.5416666666666666,0.5666666666666667,0.6333333333333333,0.6166666666666667,0.6333333333333333,,0.6375000000000001,0.5666666666666667,0.6749999999999999,0.5875,0.6833333333333332,0.6398809523809524,0.6053571428571428,0.6833333333333332,0.5666666666666667,0.6833333333333332,0.6833333333333332,0.5898809523809524,0.5208333333333334
live2,arc,llm:collude,0.5,0.5083333333333334,0.14666666666666667,0.5125000000000001,0.1875,0.3383333333333333,0.1875,0.1875,0.1875,0.1875,,0.1875,0.2916666666666667,0.6875,0.5675,0.645,0.6016666666666667,0.57,0.645,0.5325,0.645,0.645,0.21666666666666667,0.51
live2,arc,llm:collude,0.7,0.47083333333333327,0.19444444444444445,0.4666666666666666,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,,0.1875,0.1875,0.6291666666666667,0.5111111111111111,0.5083333333333333,0.5152777777777778,0.5111111111111111,0.5083333333333333,0.5027777777777778,0.5083333333333333,0.5083333333333333,0.1875,0.48333333333333334
live2,arc,llm:rushing,0.1,0.6282407407407408,0.10185185185185185,0.6240740740740741,0.6569444444444444,0.6416666666666667,0.625,0.6583333333333333,0.6416666666666667,0.6458333333333334,,0.6708333333333334,0.625,0.6875,0.5962962962962963,0.6722222222222222,0.6268518518518519,0.6060185185185185,0.6722222222222222,0.6175925925925926,0.6722222222222222,0.6722222222222222,0.6208333333333333,0.5148148148148148
live2,arc,llm:rushing,0.3,0.5898809523809524,0.11845238095238096,0.5988095238095238,0.6023809523809524,0.5922619047619048,0.5708333333333333,0.6375000000000001,0.6041666666666666,0.6166666666666667,,0.6375000000000001,0.5916666666666667,0.6375000000000001,0.5875,0.6577380952380952,0.6190476190476191,0.5595238095238095,0.6577380952380952,0.6017857142857143,0.6577380952380952,0.6577380952380952,0.5898809523809524,0.5208333333333334
live2,arc,llm:rushing,0.5,0.49416666666666664,0.13333333333333333,0.5091666666666667,0.49583333333333335,0.5750000000000001,0.5333333333333333,0.5499999999999999,0.5958333333333333,0.515,,0.6375000000000001,0.5333333333333333,0.6666666666666666,0.5675,0.6316666666666667,0.5908333333333333,0.5158333333333334,0.6316666666666667,0.5741666666666666,0.6316666666666667,0.6316666666666667,0.5641666666666666,0.51
live2,arc,llm:rushing,0.7,0.4138888888888889,0.11388888888888889,0.40277777777777773,0.39444444444444443,0.5416666666666666,0.3333333333333333,0.4583333333333333,0.48333333333333334,0.41250000000000003,,0.425,0.4375,0.5750000000000001,0.5111111111111111,0.5180555555555556,0.5138888888888888,0.4777777777777778,0.5180555555555556,0.4861111111111111,0.5180555555555556,0.5180555555555556,0.43194444444444446,0.48333333333333334
live2,arc,llm:solo,0.1,0.5976851851851852,0.11388888888888887,0.5962962962962962,0.6194444444444445,0.6171296296296297,0.625,0.6583333333333333,0.6375000000000001,0.6458333333333334,,0.6749999999999999,0.5791666666666667,0.6666666666666666,0.5962962962962963,0.675462962962963,0.6611111111111111,0.6162037037037037,0.675462962962963,0.6148148148148148,0.675462962962963,0.675462962962963,0.6046296296296296,0.5148148148148148
live2,arc,llm:solo,0.3,0.5892857142857143,0.10714285714285714,0.5851190476190476,0.5970238095238095,0.5904761904761905,0.5833333333333334,0.6291666666666667,0.6208333333333333,0.625,,0.6375000000000001,0.5875,0.6625,0.5875,0.6714285714285714,0.6291666666666667,0.5446428571428571,0.6714285714285714,0.5857142857142857,0.6714285714285714,0.6714285714285714,0.5875,0.5208333333333334
live2,arc,llm:solo,0.5,0.4808333333333333,0.125,0.505,0.4816666666666667,0.5825,0.6291666666666667,0.6416666666666667,0.6208333333333333,0.6208333333333333,,0.6416666666666667,0.5458333333333333,0.6749999999999999,0.5675,0.6483333333333333,0.6208333333333333,0.52,0.6483333333333333,0.59,0.6483333333333333,0.6483333333333333,0.58,0.51
live2,arc,llm:solo,0.7,0.3958333333333333,0.16111111111111112,0.3847222222222222,0.3680555555555556,0.4597222222222222,0.37083333333333335,0.4291666666666667,0.4875,0.5,,0.5583333333333333,0.4666666666666666,0.6041666666666666,0.5111111111111111,0.5402777777777777,0.5430555555555555,0.47083333333333327,0.5402777777777777,0.48055555555555557,0.5402777777777777,0.5402777777777777,0.4263888888888889,0.48333333333333334
live2,boolq,coherent,0.1,0.7993055555555556,0.7993055555555556,0.8069444444444445,0.7993055555555556,0.8208333333333333,0.8875,0.8625,0.8625,0.8993055555555556,0.88125,0.85625,0.75,1.0,0.8625,0.9868055555555556,0.9868055555555556,0.9868055555555556,0.9868055555555556,0.9041666666666667,0.9652777777777778,0.9868055555555556,0.8472222222222222,0.7479166666666667
live2,boolq,coherent,0.3,0.4714285714285714,0.4714285714285714,0.5651785714285714,0.4714285714285714,0.5571428571428572,0.925,0.99375,0.94375,0.98125,0.99375,0.825,0.54375,1.0,0.81875,0.9589285714285715,0.9589285714285715,0.9589285714285715,0.9589285714285715,0.9955357142857143,0.93125,0.9589285714285715,0.8553571428571428,0.7455357142857143
live2,boolq,coherent,0.5,0.0,0.0,0.19625000000000004,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.24375,1.0,0.79375,0.94125,0.94125,0.94125,0.94125,1.0,0.9375,0.94125,0.0075,0.73375
live2,boolq,coherent,0.7,0.0,0.0,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7875,0.8937499999999999,0.8937499999999999,0.8937499999999999,0.8937499999999999,1.0,0.8916666666666667,0.8937499999999999,0.0,0.7333333333333333
live2,boolq,llm:collude,0.1,0.85,0.85,0.8451388888888889,0.85,0.8763888888888889,0.86875,0.8375,0.85,0.85,0.85625,0.875,0.8125,0.84375,0.8625,0.8458333333333333,0.8458333333333333,0.8458333333333333,0.8458333333333333,0.8597222222222223,0.83125,0.8458333333333333,0.83125,0.7479166666666667
live2,boolq,llm:collude,0.3,0.7955357142857142,0.7955357142857142,0.79375,0.7955357142857142,0.7857142857142857,0.74375,0.70625,0.775,0.7357142857142858,0.78125,0.74375,0.775,0.84375,0.81875,0.8357142857142857,0.8357142857142857,0.8357142857142857,0.8357142857142857,0.7419642857142857,0.825,0.8357142857142857,0.7642857142857142,0.7455357142857143
live2,boolq,llm:collude,0.5,0.6875,0.6875,0.6875,0.6875,0.69625,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.69375,0.84375,0.79375,0.82625,0.82625,0.82625,0.82625,0.6875,0.79,0.82625,0.69125,0.73375
live2,boolq,llm:collude,0.7,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.825,0.7875,0.7875,0.7875,0.7875,0.7875,0.6875,0.7875,0.7875,0.6875,0.7333333333333333
live2,boolq,llm:rushing,0.1,0.8680555555555556,0.8680555555555556,0.8673611111111111,0.8680555555555556,0.8770833333333333,0.84375,0.85,0.825,0.84375,0.84375,0.86875,0.8625,0.90625,0.8625,0.875,0.875,0.875,0.875,0.8381944444444445,0.7881944444444444,0.875,0.8395833333333333,0.7479166666666667
live2,boolq,llm:rushing,0.3,0.8616071428571429,0.8616071428571429,0.8535714285714285,0.8616071428571429,0.8330357142857143,0.81875,0.75625,0.79375,0.75625,0.64375,0.825,0.8625,0.85625,0.81875,0.8178571428571428,0.8178571428571428,0.8178571428571428,0.8178571428571428,0.8098214285714286,0.5589285714285714,0.8178571428571428,0.8464285714285714,0.7455357142857143
live2,boolq,llm:rushing,0.5,0.6575,0.6575,0.675,0.6575,0.745,0.8,0.49375,0.5375,0.655,0.48125,0.8375,0.8,0.83125,0.79375,0.79,0.79,0.79,0.79,0.7675,0.5075,0.79,0.75125,0.73375
live2,boolq,llm:rushing,0.7,0.61875,0.61875,0.6333333333333333,0.61875,0.69375,0.6375,0.53125,0.54375,0.53125,0.53125,0.7875,0.66875,0.80625,0.7875,0.69375,0.69375,0.69375,0.7020833333333333,0.59375,0.49166666666666664,0.69375,0.60625,0.7333333333333333
live2,boolq,llm:solo,0.1,0.8583333333333334,0.8583333333333334,0.8534722222222222,0.8583333333333334,0.8770833333333333,0.8375,0.85,0.84375,0.8590277777777778,0.83125,0.8625,0.8625,0.93125,0.8625,0.9229166666666667,0.9229166666666667,0.9229166666666667,0.9229166666666667,0.8381944444444445,0.8944444444444445,0.9229166666666667,0.8395833333333333,0.7479166666666667
live2,boolq,llm:solo,0.3,0.8642857142857143,0.8642857142857143,0.8508928571428571,0.8642857142857143,0.8116071428571429,0.825,0.7625,0.79375,0.7875,0.7000000000000001,0.83125,0.84375,0.86875,0.81875,0.8303571428571429,0.8303571428571429,0.8303571428571429,0.8303571428571429,0.8357142857142857,0.6955357142857143,0.8303571428571429,0.8410714285714286,0.7455357142857143
live2,boolq,llm:solo,0.5,0.83,0.83,0.82,0.83,0.80375,0.81875,0.7625,0.7125,0.7625,0.525,0.85,0.86875,0.83125,0.79375,0.82625,0.82625,0.82625,0.82625,0.78875,0.58125,0.82625,0.8412499999999999,0.73375
live2,boolq,llm:solo,0.7,0.6666666666666666,0.6666666666666666,0.66875,0.6666666666666666,0.7166666666666667,0.64375,0.5375,0.60625,0.6125,0.575,0.7,0.6875,0.80625,0.7875,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.79375,0.7145833333333333,0.5416666666666666,0.7708333333333334,0.6916666666666667,0.7333333333333333
live2_debate,arc,llm:collude,0.5,0.545,0.14916666666666667,0.5425000000000001,0.1875,0.3541666666666667,0.1875,0.1875,0.1875,0.1875,,0.1875,0.26666666666666666,0.7208333333333333,0.65,0.6833333333333332,0.6741666666666667,0.6608333333333333,0.6833333333333332,0.5599999999999999,0.6833333333333332,0.6833333333333332,0.23583333333333334,0.5341666666666667
live2_debate,arc,llm:solo,0.5,0.4875,0.13,0.48750000000000004,0.4875,0.605,0.6291666666666667,0.6666666666666666,0.7166666666666667,0.7166666666666667,,0.6833333333333332,0.6041666666666666,0.7208333333333333,0.65,0.7166666666666667,0.7041666666666666,0.6383333333333333,0.7166666666666667,0.6408333333333334,0.7166666666666667,0.7166666666666667,0.6316666666666667,0.5341666666666667
live2_debate,boolq,llm:collude,0.5,0.6875,0.6875,0.66,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.69375,0.84375,0.84375,0.79125,0.79125,0.79125,0.79125,0.6875,0.665,0.79125,0.68875,0.72125
live2_debate,boolq,llm:solo,0.5,0.7575000000000001,0.7575000000000001,0.77625,0.7575000000000001,0.8225,0.8375,0.5125000000000001,0.5875,0.70625,0.51875,0.875,0.8562500000000001,0.88125,0.84375,0.7374999999999999,0.7374999999999999,0.7374999999999999,0.7374999999999999,0.7775,0.51,0.7374999999999999,0.8200000000000001,0.72125
live2_informed,arc,llm:collude,0.5,0.5650000000000001,0.1025,0.5650000000000001,0.1875,0.36083333333333334,0.1875,0.1875,0.1875,0.1875,,0.1875,0.29583333333333334,0.6541666666666667,0.6283333333333333,0.6708333333333334,0.6575,0.6733333333333333,0.6708333333333334,0.5750000000000001,0.6708333333333334,0.6708333333333334,0.2966666666666667,0.5675
live2_informed,arc,llm:solo,0.5,0.5850000000000001,0.11416666666666668,0.5908333333333334,0.5991666666666667,0.5975,0.6583333333333333,0.6625,0.6541666666666667,0.6583333333333333,,0.6708333333333334,0.6041666666666666,0.6875,0.6283333333333333,0.6666666666666666,0.6575,0.66,0.6666666666666666,0.6625,0.6666666666666666,0.6666666666666666,0.6266666666666667,0.5675
live2_informed,boolq,llm:collude,0.5,0.6875,0.6875,0.7075,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.78125,0.825,0.845,0.845,0.845,0.845,0.6875,0.8525,0.845,0.6875,0.73625
live2_informed,boolq,llm:solo,0.5,0.82375,0.82375,0.8275,0.82375,0.82875,0.81875,0.81875,0.83125,0.80625,0.7125,0.8125,0.8375,0.8125,0.825,0.8575,0.8575,0.8575,0.8575,0.8250000000000001,0.81125,0.8575,0.8325,0.73625
