scope,subset,n_pairs,acc_plain,acc_informed,delta,ci_low,ci_high,p
pooled,all,1200,0.6166666666666667,0.6816666666666666,0.065,0.03916666666666667,0.09083333333333334,9.87288649628203e-07
pooled,after_warmup,1104,0.6123188405797102,0.6847826086956522,0.07246376811594203,0.04528985507246377,0.10054347826086957,3.031546187262595e-07
arc,all,720,0.5513888888888889,0.6430555555555556,0.09166666666666666,0.059722222222222225,0.12361111111111112,8.636119072590527e-08
arc,after_warmup,672,0.5505952380952381,0.6517857142857143,0.10119047619047619,0.06841517857142858,0.13541666666666666,1.8260714235531638e-08
boolq,all,480,0.7145833333333333,0.7395833333333334,0.025,-0.016666666666666666,0.06666666666666667,0.23476366282766925
boolq,after_warmup,432,0.7083333333333334,0.7361111111111112,0.027777777777777776,-0.016203703703703703,0.07407407407407407,0.22544231699451311
