benchmark,attack,f,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
arc,coherent,0.1,self,race,0.7013888888888888,0.5148148148148148,0.1865740740740741,0.10738425925925925,0.2634259259259259,0.00014027321746564223,48,0.018516064705464776,win
arc,coherent,0.1,majority,race,0.7013888888888888,0.5666666666666668,0.13472222222222222,0.04721064814814815,0.22778935185185178,0.0012572735954096503,48,0.14081464268588084,tie
arc,coherent,0.1,aip_gated,race,0.7013888888888888,0.5574074074074074,0.14398148148148146,0.08702546296296294,0.2079050925925924,1.5346495299774384e-06,48,0.00023019742949661575,win
arc,coherent,0.1,ds_onecoin,race,0.7013888888888888,0.6625000000000001,0.03888888888888888,-0.01111111111111112,0.09722222222222221,0.3214897517438452,48,1.0,tie
arc,coherent,0.1,race_onecoin,race,0.7013888888888888,0.7013888888888888,0.0,0.0,0.0,1.0,48,1.0,tie
arc,coherent,0.3,self,race,0.7053571428571429,0.5208333333333334,0.18452380952380953,0.12023809523809526,0.24702380952380953,2.7127335809621754e-05,48,0.0037164450059181805,win
arc,coherent,0.3,majority,race,0.7053571428571429,0.4583333333333333,0.24702380952380953,0.1619047619047619,0.3416815476190475,1.5990726713661892e-06,48,0.00023826182803356218,win
arc,coherent,0.3,aip_gated,race,0.7053571428571429,0.5714285714285714,0.13392857142857145,0.08273809523809528,0.1886904761904762,3.45397052282904e-05,48,0.004697399911047494,win
arc,coherent,0.3,ds_onecoin,race,0.7053571428571429,0.65,0.05535714285714285,0.01309523809523809,0.09464285714285714,0.0026019823941464885,48,0.2758101337795278,tie
arc,coherent,0.3,race_onecoin,race,0.7053571428571429,0.7053571428571429,0.0,0.0,0.0,1.0,48,1.0,tie
arc,coherent,0.5,self,race,0.6741666666666667,0.51,0.16416666666666666,0.11083333333333334,0.2166874999999999,1.1649907357935928e-05,48,0.0016426369374689658,win
arc,coherent,0.5,majority,race,0.6741666666666667,0.12083333333333335,0.5533333333333333,0.4466666666666667,0.6641666666666667,6.671327883285254e-09,48,1.047398477675785e-06,win
arc,coherent,0.5,aip_gated,race,0.6741666666666667,0.4791666666666667,0.19500000000000003,0.1391666666666667,0.2483541666666666,9.961242425200043e-07,48,0.00015041476062052064,win
arc,coherent,0.5,ds_onecoin,race,0.6741666666666667,0.0,0.6741666666666667,0.5599583333333333,0.7833541666666666,2.0939135942078607e-09,48,3.350261750732577e-07,win
arc,coherent,0.5,race_onecoin,race,0.6741666666666667,0.6741666666666667,0.0,0.0,0.0,1.0,48,1.0,tie
arc,coherent,0.7,self,race,0.5652777777777778,0.48333333333333334,0.08194444444444443,0.05277777777777776,0.11249999999999999,3.997214517717287e-05,48,0.005396239598918337,win
arc,coherent,0.7,majority,race,0.5652777777777778,0.0,0.5652777777777778,0.46527777777777785,0.6694444444444444,2.8323224746468985e-09,48,4.503392734688569e-07,win
arc,coherent,0.7,aip_gated,race,0.5652777777777778,0.42777777777777776,0.1375,0.09305555555555556,0.1875,2.529087301444751e-05,48,0.0034901404759937566,win
arc,coherent,0.7,ds_onecoin,race,0.5652777777777778,0.0,0.5652777777777778,0.46246527777777774,0.6694444444444444,2.8323224746468985e-09,48,4.503392734688569e-07,win
arc,coherent,0.7,race_onecoin,race,0.5652777777777778,0.5652777777777778,0.0,0.0,0.0,1.0,48,1.0,tie
arc,llm:collude,0.1,self,race,0.675462962962963,0.5148148148148148,0.16064814814814815,0.06805555555555556,0.2435185185185185,0.0009168718966367439,48,0.10727401190649903,tie
arc,llm:collude,0.1,majority,race,0.675462962962963,0.6083333333333334,0.06712962962962964,-0.016203703703703706,0.15833333333333333,0.05402523524201984,48,1.0,tie
arc,llm:collude,0.1,aip_gated,race,0.675462962962963,0.5962962962962963,0.07916666666666668,0.0004398148148148294,0.15371527777777771,0.0020658938238074607,48,0.2251824267950132,tie
arc,llm:collude,0.1,ds_onecoin,race,0.675462962962963,0.6708333333333334,0.00462962962962962,-0.04490740740740742,0.05416666666666665,0.8811293672224924,48,1.0,tie
arc,llm:collude,0.1,race_onecoin,race,0.675462962962963,0.675462962962963,0.0,0.0,0.0,1.0,48,1.0,tie
arc,llm:collude,0.3,self,race,0.6833333333333332,0.5208333333333334,0.1625,0.0946279761904762,0.22858630952380948,0.00016980265042924563,48,0.02207434455580193,win
arc,llm:collude,0.3,majority,race,0.6833333333333332,0.5666666666666667,0.11666666666666665,-0.001785714285714291,0.23930059523809516,0.02645551642240827,48,1.0,tie
arc,llm:collude,0.3,aip_gated,race,0.6833333333333332,0.5684523809523809,0.11488095238095238,0.0511904761904762,0.1875,0.00028110427137307555,48,0.0357002424643806,win
arc,llm:collude,0.3,ds_onecoin,race,0.6833333333333332,0.6333333333333334,0.049999999999999996,0.006547619047619044,0.09169642857142841,0.06017460110275863,48,1.0,tie
arc,llm:collude,0.3,race_onecoin,race,0.6833333333333332,0.6833333333333332,0.0,0.0,0.0,1.0,48,1.0,tie
arc,llm:collude,0.5,self,race,0.645,0.51,0.13499999999999998,0.07416666666666666,0.1991874999999999,0.0004714848006815026,48,0.05846411528450632,tie
arc,llm:collude,0.5,majority,race,0.645,0.2916666666666667,0.35333333333333333,0.1733125,0.53,0.0007036118063227512,48,0.0837298049524074,tie
arc,llm:collude,0.5,aip_gated,race,0.645,0.5083333333333334,0.13666666666666663,0.08164583333333326,0.19833333333333328,0.0004800597493371186,48,0.05904734916846559,tie
arc,llm:collude,0.5,ds_onecoin,race,0.645,0.1875,0.4575,0.2675,0.6383541666666666,0.0001620083913969256,48,0.021223099272997255,win
arc,llm:collude,0.5,race_onecoin,race,0.645,0.645,0.0,0.0,0.0,1.0,48,1.0,tie
arc,llm:collude,0.7,self,race,0.5083333333333333,0.48333333333333334,0.024999999999999998,-0.02777777777777778,0.07777777777777778,0.4634591320731737,48,1.0,tie
arc,llm:collude,0.7,majority,race,0.5083333333333333,0.1875,0.3208333333333333,0.11802083333333331,0.5014236111111109,0.003973632259940817,48,0.4053104905139633,tie
arc,llm:collude,0.7,aip_gated,race,0.5083333333333333,0.4708333333333334,0.037500000000000026,0.0013888888888889208,0.07361111111111114,0.013733710306884627,48,1.0,tie
arc,llm:collude,0.7,ds_onecoin,race,0.5083333333333333,0.1875,0.3208333333333333,0.12076388888888889,0.513888888888889,0.003973632259940817,48,0.4053104905139633,tie
arc,llm:collude,0.7,race_onecoin,race,0.5083333333333333,0.5083333333333333,0.0,0.0,0.0,1.0,48,1.0,tie
arc,llm:rushing,0.1,self,race,0.6722222222222222,0.5148148148148148,0.1574074074074074,0.07037037037037037,0.2426041666666666,0.0013707573540796987,48,0.15215406630284656,tie
arc,llm:rushing,0.1,majority,race,0.6722222222222222,0.625,0.04722222222222222,-0.030555555555555558,0.13472222222222222,0.06641304362792359,48,1.0,tie
arc,llm:rushing,0.1,aip_gated,race,0.6722222222222222,0.6282407407407407,0.0439814814814815,-0.039814814814814796,0.11993055555555544,0.01271727611159514,48,1.0,tie
arc,llm:rushing,0.1,ds_onecoin,race,0.6722222222222222,0.6583333333333333,0.013888888888888876,-0.03750000000000001,0.07083333333333332,0.8630270924624861,48,1.0,tie
arc,llm:rushing,0.1,race_onecoin,race,0.6722222222222222,0.6722222222222222,0.0,0.0,0.0,1.0,48,1.0,tie
arc,llm:rushing,0.3,self,race,0.6577380952380952,0.5208333333333334,0.13690476190476195,0.06964285714285716,0.20773809523809525,0.0009883323062272727,48,0.11266988290990909,tie
