f,atk,Receiver alone,Majority vote,Dawid–Skene (label-free),AIP gated,AIP soft gate (M1),RACE (ours),RACE + self cap,Known-channel oracle
0.3,attractor,86.66666666666667,83.66666666666667,95.27777777777777,93.46031746031747,93.82539682539682,93.54761904761905,93.29365079365081,95.94444444444444
0.3,camouflage(0.7),86.66666666666667,87.0,88.0,87.73809523809524,87.78571428571428,90.93650793650792,91.06349206349206,92.3888888888889
0.3,camouflage(0.9),86.66666666666667,83.66666666666667,86.66666666666667,86.95238095238095,84.73015873015872,91.95238095238093,91.45238095238093,93.3888888888889
0.3,echo,86.66666666666667,91.72222222222223,91.8888888888889,91.71428571428572,91.76190476190476,92.03968253968253,92.05555555555556,92.55555555555556
0.3,gate_aware(0),86.66666666666667,88.0,94.6111111111111,90.11111111111111,91.39682539682539,95.23015873015873,95.07936507936509,95.88888888888889
0.3,gate_aware(0.25),86.66666666666667,87.55555555555557,94.3888888888889,89.8015873015873,91.27777777777777,95.27777777777777,95.14285714285715,95.94444444444444
0.3,gate_aware(0.5),86.66666666666667,87.6111111111111,94.33333333333334,90.0952380952381,92.0079365079365,95.33333333333334,95.14285714285715,95.88888888888889
0.3,gate_aware(0.75),86.66666666666667,87.0,94.33333333333334,89.23809523809524,93.27777777777777,95.27777777777777,94.8809523809524,95.77777777777777
0.3,gate_aware(1),86.66666666666667,86.44444444444443,94.16666666666667,92.94444444444444,93.3888888888889,93.44444444444444,93.03968253968253,95.22222222222223
0.3,independent,86.66666666666667,88.0,94.5,90.1031746031746,91.46031746031747,95.22222222222223,95.25396825396825,96.0
0.3,partial(0.5),86.66666666666667,92.6111111111111,93.05555555555556,92.18253968253968,91.95238095238093,93.08730158730158,92.55555555555556,94.27777777777777
0.3,partial(0.8),86.66666666666667,89.05555555555557,92.72222222222223,91.52380952380952,91.91269841269842,92.57142857142857,92.16666666666666,94.5
0.3,sleeper,86.66666666666667,86.44444444444443,88.19047619047619,87.72222222222223,87.65873015873015,90.66666666666666,90.19047619047619,91.5
0.3,uninformative,86.66666666666667,91.77777777777777,92.33333333333333,91.83333333333333,91.90476190476191,92.0,91.75396825396825,94.05555555555556
0.5,attractor,86.07777777777778,50.388888888888886,0.0,80.45555555555556,92.65555555555555,93.41111111111111,92.93333333333334,95.54444444444444
0.5,camouflage(0.7),86.07777777777778,85.77777777777777,86.5,85.81111111111112,85.81111111111112,88.16666666666667,88.05555555555557,89.3888888888889
0.5,camouflage(0.9),86.07777777777778,68.44444444444446,69.16666666666667,69.72222222222221,69.76666666666667,89.01111111111109,89.18888888888888,91.94444444444444
0.5,echo,86.07777777777778,90.55555555555557,89.77777777777777,90.25555555555556,90.26666666666668,90.8888888888889,90.71111111111111,91.22222222222223
0.5,gate_aware(0),86.07777777777778,68.72222222222221,37.5,69.4111111111111,85.96666666666665,95.27777777777777,95.23333333333332,95.77777777777777
0.5,gate_aware(0.25),86.07777777777778,68.44444444444446,37.388888888888886,68.52222222222221,85.7,95.16666666666667,95.26666666666667,95.88888888888889
0.5,gate_aware(0.5),86.07777777777778,65.66666666666666,37.666666666666664,72.65555555555555,90.3111111111111,95.22222222222223,95.06666666666666,95.77777777777777
0.5,gate_aware(0.75),86.07777777777778,60.0,29.277777777777775,70.67777777777778,91.95555555555556,94.8888888888889,94.55555555555556,95.44444444444444
0.5,gate_aware(1),86.07777777777778,50.388888888888886,0.0,79.73333333333333,91.91111111111113,92.85555555555555,92.66666666666666,94.5
0.5,independent,86.07777777777778,69.33333333333334,37.666666666666664,69.52222222222221,86.42222222222222,95.1111111111111,95.39999999999999,95.93333333333334
0.5,partial(0.5),86.07777777777778,89.83333333333333,90.83333333333333,88.26666666666667,87.13333333333333,92.27777777777777,91.8,93.22222222222223
0.5,partial(0.8),86.07777777777778,71.88888888888889,84.94444444444444,88.35555555555555,89.56666666666666,91.8888888888889,91.61111111111111,93.83333333333333
0.5,sleeper,86.07777777777778,50.388888888888886,68.55555555555554,31.38888888888889,29.522222222222222,40.477777777777774,68.34444444444443,68.55555555555554
0.5,uninformative,86.07777777777778,88.3888888888889,90.55555555555557,88.9,89.28888888888889,91.7,91.26666666666668,92.8888888888889
0.7,attractor,86.35185185185185,0.0,0.0,79.18518518518518,91.3888888888889,92.74074074074075,91.87037037037035,94.3888888888889
0.7,camouflage(0.7),86.35185185185185,78.0,78.0,72.57407407407408,72.57407407407408,80.24074074074075,81.44444444444446,87.8888888888889
0.7,camouflage(0.9),86.35185185185185,78.0,78.0,72.57407407407408,72.57407407407408,80.24074074074075,81.44444444444446,87.8888888888889
0.7,echo,86.35185185185185,89.0,89.44444444444444,89.18518518518518,89.16666666666667,89.11111111111111,88.83333333333333,89.5
0.7,gate_aware(0),86.35185185185185,5.8888888888888875,0.05555555555555555,42.75925925925926,60.2037037037037,95.5925925925926,95.83333333333334,95.88888888888889
0.7,gate_aware(0.25),86.35185185185185,4.333333333333334,0.0,42.74074074074074,60.09259259259259,94.9814814814815,95.14814814814815,95.33333333333334
0.7,gate_aware(0.5),86.35185185185185,1.4444444444444444,0.0,60.12962962962963,86.4074074074074,94.3888888888889,94.37037037037037,94.66666666666667
0.7,gate_aware(0.75),86.35185185185185,0.16666666666666669,0.0,57.72222222222222,91.0925925925926,93.94444444444444,93.64814814814815,94.27777777777777
0.7,gate_aware(1),86.35185185185185,0.0,0.0,78.57407407407408,90.72222222222223,92.25925925925925,91.85185185185185,93.0
0.7,independent,86.35185185185185,5.611111111111111,0.1111111111111111,42.75925925925926,59.98148148148148,95.4074074074074,95.6111111111111,95.72222222222223
0.7,partial(0.5),86.35185185185185,80.94444444444446,86.44444444444443,75.64814814814814,71.46296296296296,89.2962962962963,88.48148148148148,91.61111111111111
0.7,partial(0.8),86.35185185185185,28.388888888888886,1.7222222222222219,76.35185185185185,84.57407407407408,90.68518518518518,90.68518518518518,92.11111111111111
0.7,sleeper,86.35185185185185,0.0,0.0,5.2407407407407405,4.296296296296296,0.0,0.0,0.0
0.7,uninformative,86.35185185185185,77.83333333333333,89.83333333333333,79.12962962962963,83.88888888888889,87.24074074074075,87.07407407407408,89.66666666666666
