attack,byzantine,mae,race_invert,aip_invert,race_trust,aip_trust,n
attractor,False,0.03274819698502777,0.01746031746031746,0.0015873015873015873,0.9825396825396825,0.9984126984126984,2520.0
attractor,True,0.05877774483042511,0.9736842105263158,0.7383040935672515,0.010964912280701754,0.26169590643274854,1368.0
camouflage,False,0.037003316286049664,0.0003968253968253968,0.09801587301587301,0.9841269841269841,0.901984126984127,2520.0
camouflage,True,0.0850602027682385,0.0,0.19005847953216373,0.9707602339181286,0.8099415204678363,1368.0
coherent,False,0.03502894707483309,0.01746031746031746,0.0,0.9801587301587301,1.0,2520.0
coherent,True,0.03695149870850647,0.9890350877192983,0.7383040935672515,0.010964912280701754,0.26169590643274854,1368.0
gate_aware,False,0.02733886674639395,0.011904761904761904,0.0,0.9873015873015873,1.0,2520.0
gate_aware,True,0.026721117117495703,0.9970760233918129,0.28289473684210525,0.0029239766081871343,0.7171052631578947,1368.0
independent,False,0.02726537339494284,0.011904761904761904,0.0,0.9865079365079366,1.0,2520.0
independent,True,0.0260579540383496,0.9970760233918129,0.28289473684210525,0.0029239766081871343,0.7171052631578947,1368.0
llm:rushing,False,0.02486974363904072,0.0,0.0,1.0,1.0,2520.0
llm:rushing,True,0.017421469235229164,0.7807017543859649,0.6388888888888888,0.15935672514619884,0.3611111111111111,1368.0
llm:semantic_negation,False,0.024056073132857344,0.0,0.005555555555555556,1.0,0.9944444444444445,2520.0
llm:semantic_negation,True,0.011495161145145743,0.5614035087719298,0.5716374269005848,0.23830409356725146,0.4283625730994152,1368.0
