benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
arc,0.7,camouflage,0.9,race,race_d,0.9152777777777779,0.8708333333333333,0.04444444444444444,0.018055555555555554,0.07916666666666665,0.002714655105259367,80,0.7438154988410666,tie
arc,0.7,echo,1.0,race,race_d,0.9305555555555556,0.9416666666666667,-0.011111111111111115,-0.01944444444444445,-0.0041666666666666675,0.004688336148854765,80,1.0,tie
arc,0.7,gate_aware,0.0,race,race_d,0.9958333333333333,0.9958333333333333,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,gate_aware,0.25,race,race_d,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,gate_aware,0.5,race,race_d,0.9625,0.9625,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,gate_aware,0.75,race,race_d,0.9625,0.9625,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,gate_aware,1.0,race,race_d,0.951388888888889,0.951388888888889,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,independent,1.0,race,race_d,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,llm:always_wrong,1.0,race,race_d,0.9361111111111111,0.9333333333333332,0.002777777777777777,-0.004166666666666668,0.0125,0.9929035095959442,80,1.0,tie
arc,0.7,llm:rushing,1.0,race,race_d,0.9458333333333332,0.9416666666666667,0.004166666666666666,-0.025,0.0375,0.9929035095959442,80,1.0,tie
arc,0.7,llm:semantic_hallucination,1.0,race,race_d,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,llm:semantic_negation,1.0,race,race_d,0.95,0.95,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,partial,0.5,race,race_d,0.9541666666666668,0.9541666666666668,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,partial,0.8,race,race_d,0.9291666666666668,0.9291666666666668,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.7,sleeper,1.0,race,race_d,0.03333333333333334,0.0,0.03333333333333334,0.015277777777777779,0.05142361111111093,0.0005362605460955803,80,0.14800791072238018,tie
arc,0.7,uninformative,1.0,race,race_d,0.9361111111111111,0.9361111111111111,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,attractor,1.0,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,camouflage,0.7,race,race_d,0.8023809523809522,0.9142857142857143,-0.11190476190476195,-0.13154761904761908,-0.08928571428571433,8.050679269257232e-14,80,2.5118119320082562e-11,loss
boolq,0.3,camouflage,0.9,race,race_d,0.8541666666666667,0.9202380952380953,-0.06607142857142856,-0.08452380952380951,-0.04403273809523817,5.040199868350306e-10,80,1.496939360900041e-07,loss
boolq,0.3,echo,1.0,race,race_d,0.8041666666666666,0.9244047619047618,-0.12023809523809528,-0.13511904761904764,-0.10178571428571433,1.92121922537156e-15,80,6.090264944427845e-13,loss
boolq,0.3,gate_aware,0.0,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,gate_aware,0.25,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,gate_aware,0.5,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,gate_aware,0.75,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,gate_aware,1.0,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,independent,1.0,race,race_d,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,llm:always_wrong,1.0,race,race_d,0.919047619047619,0.9232142857142858,-0.0041666666666666675,-0.010714285714285716,0.0,0.08328098628159922,80,1.0,tie
boolq,0.3,llm:rushing,1.0,race,race_d,0.9232142857142858,0.9214285714285715,0.0017857142857142863,0.0,0.004761904761904764,0.15730741684009697,80,1.0,tie
boolq,0.3,llm:semantic_hallucination,1.0,race,race_d,0.9244047619047621,0.9244047619047621,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,llm:semantic_negation,1.0,race,race_d,0.9255952380952381,0.9238095238095237,0.0017857142857142857,-0.0035714285714285726,0.008928571428571428,0.9929035095959442,80,1.0,tie
boolq,0.3,partial,0.5,race,race_d,0.9226190476190477,0.925,-0.0023809523809523807,-0.007142857142857143,0.0,0.31731050786291415,80,1.0,tie
boolq,0.3,partial,0.8,race,race_d,0.9375,0.9375,0.0,0.0,0.0,1.0,80,1.0,tie
boolq,0.3,sleeper,1.0,race,race_d,0.8041666666666665,0.9,-0.09583333333333337,-0.12142857142857147,-0.06666666666666671,3.3466257798400056e-10,80,9.972944823923216e-08,loss
boolq,0.3,uninformative,1.0,race,race_d,0.925,0.9261904761904762,-0.0011904761904761904,-0.0035714285714285713,0.0,0.31731050786291415,80,1.0,tie
boolq,0.5,attractor,1.0,race,race_d,0.9358333333333334,0.9333333333333332,0.0025000000000000014,0.0,0.006666666666666668,0.15730741684009697,80,1.0,tie
boolq,0.5,camouflage,0.7,race,race_d,0.7416666666666666,0.9008333333333333,-0.1591666666666665,-0.18249999999999983,-0.1308333333333332,1.863906016705862e-10,80,5.573078989950527e-08,loss
boolq,0.5,camouflage,0.9,race,race_d,0.7633333333333333,0.9099999999999999,-0.1466666666666665,-0.1791666666666665,-0.10581249999999996,9.537020302704819e-08,80,2.7561988674816928e-05,loss
boolq,0.5,echo,1.0,race,race_d,0.8016666666666667,0.9208333333333332,-0.11916666666666664,-0.13499999999999995,-0.10333333333333332,9.218517391596359e-13,80,2.848521874003275e-10,loss
