benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
arc,0.5,partial,0.5,oracle_channel_honest,race,0.9733333333333334,0.9666666666666666,0.006666666666666668,-0.008333333333333335,0.02166666666666667,0.32043220102676795,80,1.0,tie
arc,0.5,partial,0.8,oracle_channel_honest,race,0.9625,0.9666666666666666,-0.004166666666666667,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.5,sleeper,1.0,oracle_channel_honest,race,0.21083333333333334,0.9666666666666666,-0.7558333333333334,-0.7825,-0.7308333333333333,1.1880092744156457e-16,80,3.765989399897597e-14,loss
arc,0.5,uninformative,1.0,oracle_channel_honest,race,0.9625,0.9666666666666666,-0.004166666666666667,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.7,attractor,1.0,oracle_channel_honest,race,0.9625,0.9375,0.025,0.0027777777777777775,0.05555555555555556,0.02536898605682532,80,1.0,tie
arc,0.7,camouflage,0.7,oracle_channel_honest,race,0.8708333333333333,0.9375,-0.06666666666666668,-0.10416666666666667,-0.03333333333333334,0.0001098609037059981,80,0.030431470326561474,loss
arc,0.7,camouflage,0.9,oracle_channel_honest,race,0.8708333333333333,0.9375,-0.06666666666666668,-0.10697916666666668,-0.03468750000000019,0.0001098609037059981,80,0.030431470326561474,loss
arc,0.7,echo,1.0,oracle_channel_honest,race,0.9416666666666667,0.9375,0.004166666666666665,-0.020833333333333336,0.03333333333333333,0.6672349642158524,80,1.0,tie
arc,0.7,gate_aware,0.0,oracle_channel_honest,race,0.9958333333333333,0.9375,0.05833333333333335,0.020833333333333336,0.10416666666666667,0.008168644880121631,80,1.0,tie
arc,0.7,gate_aware,0.25,oracle_channel_honest,race,0.9791666666666666,0.9375,0.04166666666666667,0.016666666666666666,0.075,0.00817056706883208,80,1.0,tie
arc,0.7,gate_aware,0.5,oracle_channel_honest,race,0.9625,0.9375,0.025,0.004166666666666667,0.05,0.02535935531944917,80,1.0,tie
arc,0.7,gate_aware,0.75,oracle_channel_honest,race,0.9625,0.9375,0.025,0.004166666666666667,0.05,0.02535935531944917,80,1.0,tie
arc,0.7,gate_aware,1.0,oracle_channel_honest,race,0.951388888888889,0.9375,0.013888888888888886,-0.0013888888888888915,0.03333333333333333,0.17242199023565308,80,1.0,tie
arc,0.7,independent,1.0,oracle_channel_honest,race,0.9875,0.9375,0.05,0.01666666666666667,0.09166666666666666,0.00817056706883208,80,1.0,tie
arc,0.7,llm:always_wrong,1.0,oracle_channel_honest,race,0.9333333333333332,0.9375,-0.004166666666666667,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.7,llm:rushing,1.0,oracle_channel_honest,race,0.9416666666666667,0.9375,0.0041666666666666675,-0.0125,0.025,0.9929035095959442,80,1.0,tie
arc,0.7,llm:semantic_hallucination,1.0,oracle_channel_honest,race,0.9333333333333333,0.9375,-0.0041666666666666675,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.7,llm:semantic_negation,1.0,oracle_channel_honest,race,0.95,0.9375,0.012500000000000002,-0.008333333333333333,0.04166666666666667,0.5538887445996896,80,1.0,tie
arc,0.7,partial,0.5,oracle_channel_honest,race,0.9541666666666668,0.9375,0.01666666666666667,-0.008333333333333335,0.04583333333333334,0.4083196930251548,80,1.0,tie
arc,0.7,partial,0.8,oracle_channel_honest,race,0.9291666666666668,0.9375,-0.008333333333333335,-0.025,0.0,0.31731050786291415,80,1.0,tie
arc,0.7,sleeper,1.0,oracle_channel_honest,race,0.0,0.9375,-0.9375,-0.9791666666666667,-0.8875,7.529431291534417e-18,80,2.4244768758740824e-15,loss
arc,0.7,uninformative,1.0,oracle_channel_honest,race,0.9361111111111111,0.9375,-0.0013888888888888896,-0.004166666666666668,0.0,0.31731050786291415,80,1.0,tie
boolq,0.3,attractor,1.0,oracle_channel_honest,race,0.9333333333333332,0.9208333333333334,0.0125,0.0,0.029166666666666667,0.08327686887710241,80,1.0,tie
boolq,0.3,camouflage,0.7,oracle_channel_honest,race,0.9101190476190476,0.9208333333333334,-0.010714285714285714,-0.025000000000000005,0.0017857142857142857,0.30819571853401007,80,1.0,tie
boolq,0.3,camouflage,0.9,oracle_channel_honest,race,0.925,0.9208333333333334,0.004166666666666667,0.0,0.0125,0.31731050786291415,80,1.0,tie
boolq,0.3,echo,1.0,oracle_channel_honest,race,0.9208333333333332,0.9208333333333334,-1.3877787807814458e-18,-0.01666666666666667,0.016666666666666666,0.979675578630191,80,1.0,tie
boolq,0.3,gate_aware,0.0,oracle_channel_honest,race,0.9333333333333332,0.9208333333333334,0.0125,0.0,0.029166666666666667,0.08327686887710241,80,1.0,tie
boolq,0.3,gate_aware,0.25,oracle_channel_honest,race,0.9333333333333332,0.9208333333333334,0.0125,0.0,0.029166666666666667,0.08327686887710241,80,1.0,tie
boolq,0.3,gate_aware,0.5,oracle_channel_honest,race,0.9333333333333332,0.9208333333333334,0.0125,0.0,0.029166666666666667,0.08327686887710241,80,1.0,tie
boolq,0.3,gate_aware,0.75,oracle_channel_honest,race,0.9333333333333332,0.9208333333333334,0.0125,0.0,0.029166666666666667,0.08327686887710241,80,1.0,tie
boolq,0.3,gate_aware,1.0,oracle_channel_honest,race,0.9333333333333332,0.9208333333333334,0.0125,0.0,0.029166666666666664,0.08327686887710241,80,1.0,tie
boolq,0.3,independent,1.0,oracle_channel_honest,race,0.9333333333333332,0.9208333333333334,0.0125,0.0,0.029166666666666667,0.08327686887710241,80,1.0,tie
