atk,f,history_n,Receiver alone,Majority vote,Dawid–Skene (label-free),AIP gated,RACE (ours)
coherent(1),0.3,5,80.61011904761905,79.16666666666667,84.07738095238095,77.54464285714285,86.45833333333334
coherent(1),0.3,10,80.61011904761905,79.16666666666667,90.22321428571429,79.375,87.05357142857142
coherent(1),0.3,20,80.61011904761905,79.16666666666667,90.9375,87.54464285714286,90.14880952380952
coherent(1),0.3,40,80.61011904761905,79.16666666666667,90.83333333333334,88.31845238095238,88.89880952380953
coherent(1),0.3,80,80.61011904761905,79.16666666666667,90.83333333333334,88.52678571428572,89.47916666666667
coherent(1),0.5,5,79.64583333333334,32.1875,6.458333333333332,10.833333333333332,85.125
coherent(1),0.5,10,79.64583333333334,32.1875,0.0,14.520833333333332,86.83333333333334
coherent(1),0.5,20,79.64583333333334,32.1875,0.0,57.06249999999999,89.375
coherent(1),0.5,40,79.64583333333334,32.1875,0.0,63.145833333333336,89.39583333333333
coherent(1),0.5,80,79.64583333333334,32.1875,0.0,64.27083333333333,89.0
coherent(1),0.7,5,79.8611111111111,0.0,0.0,6.805555555555555,78.71527777777779
coherent(1),0.7,10,79.8611111111111,0.0,0.0,11.736111111111109,86.77083333333334
coherent(1),0.7,20,79.8611111111111,0.0,0.0,60.138888888888886,87.5
coherent(1),0.7,40,79.8611111111111,0.0,0.0,62.84722222222222,86.07638888888889
coherent(1),0.7,80,79.8611111111111,0.0,0.0,62.84722222222222,88.15972222222221
gate_aware(0.25),0.3,5,80.61011904761905,81.14583333333334,90.17857142857142,80.0,86.54761904761905
gate_aware(0.25),0.3,10,80.61011904761905,81.14583333333334,90.5952380952381,82.45535714285714,90.71428571428571
gate_aware(0.25),0.3,20,80.61011904761905,81.14583333333334,91.14583333333334,83.73511904761905,91.69642857142858
gate_aware(0.25),0.3,40,80.61011904761905,81.14583333333334,90.9375,83.63095238095238,90.22321428571429
gate_aware(0.25),0.3,80,80.61011904761905,81.14583333333334,90.9375,83.4375,92.70833333333334
gate_aware(0.25),0.5,5,79.64583333333334,54.37499999999999,51.87500000000001,44.875,84.20833333333333
gate_aware(0.25),0.5,10,79.64583333333334,54.37499999999999,45.520833333333336,48.708333333333336,92.08333333333334
gate_aware(0.25),0.5,20,79.64583333333334,54.37499999999999,45.520833333333336,50.66666666666666,92.58333333333333
gate_aware(0.25),0.5,40,79.64583333333334,54.37499999999999,45.520833333333336,48.02083333333333,92.79166666666667
gate_aware(0.25),0.5,80,79.64583333333334,54.37499999999999,45.520833333333336,46.04166666666666,93.02083333333334
gate_aware(0.25),0.7,5,79.8611111111111,5.3125,0.0,21.70138888888889,82.46527777777777
gate_aware(0.25),0.7,10,79.8611111111111,5.3125,0.0,24.722222222222218,92.0138888888889
gate_aware(0.25),0.7,20,79.8611111111111,5.3125,0.0,26.90972222222222,92.60416666666667
gate_aware(0.25),0.7,40,79.8611111111111,5.3125,0.0,23.819444444444443,91.90972222222221
gate_aware(0.25),0.7,80,79.8611111111111,5.3125,0.0,19.305555555555554,92.56944444444444
