source,benchmark,attack,f,aip_gated,aip_naive,aip_soft,aip_trust_only,confidence,ds_full,ds_onecoin,majority,oracle_channel,oracle_honest_majority,race,race_capself,race_full,race_ms,race_noclone,race_rawclone,sac,self
live,boolq,coherent,0.1,62.268518518518526,62.268518518518526,69.86111111111111,62.268518518518526,64.86111111111111,77.91666666666667,77.08333333333334,53.333333333333336,96.66666666666667,66.66666666666666,79.49074074074073,88.88888888888889,84.67592592592594,79.49074074074073,76.99074074074073,79.49074074074073,66.99074074074075,61.75925925925926
live,boolq,coherent,0.3,43.98809523809524,43.98809523809524,65.77380952380952,43.98809523809524,45.23809523809524,97.5,89.58333333333334,41.25,96.66666666666667,63.33333333333333,79.76190476190476,85.35714285714286,82.3809523809524,79.76190476190476,91.84523809523809,79.76190476190476,68.75,62.023809523809526
live,boolq,coherent,0.5,0.0,0.0,60.24999999999999,0.0,8.75,0.0,0.0,20.0,98.33333333333334,62.083333333333336,82.66666666666667,87.58333333333333,84.75,82.66666666666667,100.0,82.66666666666667,0.0,60.083333333333336
live,boolq,coherent,0.7,0.0,0.0,65.27777777777779,0.0,0.0,0.0,0.0,0.0,100.0,64.16666666666667,79.72222222222221,85.69444444444444,83.88888888888889,78.19444444444444,100.0,79.72222222222221,0.0,61.944444444444436
live,boolq,llm:collude,0.1,69.9537037037037,69.9537037037037,68.56481481481481,69.9537037037037,72.63888888888889,76.25,74.16666666666667,66.66666666666666,72.08333333333333,66.66666666666666,61.24999999999999,55.833333333333336,71.89814814814815,53.51851851851852,67.63888888888889,61.24999999999999,68.5185185185185,61.75925925925926
live,boolq,llm:collude,0.3,71.60714285714286,71.60714285714286,67.38095238095238,71.60714285714286,75.71428571428571,73.33333333333334,65.0,70.0,72.08333333333333,63.33333333333333,63.86904761904763,62.083333333333336,71.60714285714286,62.142857142857146,60.476190476190474,63.86904761904763,68.75,62.023809523809526
live,boolq,llm:collude,0.5,54.166666666666664,54.166666666666664,58.08333333333333,54.166666666666664,61.66666666666667,60.0,54.166666666666664,68.33333333333333,72.08333333333333,62.083333333333336,60.66666666666667,61.33333333333334,67.5,62.83333333333333,50.33333333333333,60.66666666666667,57.50000000000001,60.083333333333336
live,boolq,llm:collude,0.7,54.166666666666664,54.166666666666664,62.22222222222222,54.166666666666664,54.166666666666664,54.166666666666664,54.166666666666664,54.166666666666664,70.83333333333334,64.16666666666667,57.36111111111112,58.47222222222223,62.638888888888886,59.02777777777778,48.05555555555556,57.36111111111112,54.166666666666664,61.944444444444436
live,boolq,llm:rushing,0.1,69.35185185185185,69.35185185185185,69.25925925925927,69.35185185185185,70.13888888888889,73.33333333333334,74.58333333333333,65.41666666666667,72.5,66.66666666666666,69.16666666666667,63.61111111111111,71.52777777777779,69.16666666666667,69.72222222222223,69.16666666666667,68.5185185185185,61.75925925925926
live,boolq,llm:rushing,0.3,68.92857142857144,68.92857142857144,66.8452380952381,68.92857142857144,75.11904761904762,71.66666666666667,67.08333333333334,68.33333333333333,70.41666666666666,63.33333333333333,54.4047619047619,52.916666666666664,70.0,51.72619047619048,60.17857142857142,54.4047619047619,69.76190476190477,62.023809523809526
live,boolq,llm:rushing,0.5,61.583333333333336,61.583333333333336,61.916666666666664,61.583333333333336,67.08333333333334,65.41666666666667,55.41666666666667,67.08333333333334,76.66666666666666,62.083333333333336,51.916666666666664,49.08333333333334,70.58333333333334,50.0,55.91666666666667,51.916666666666664,67.83333333333333,60.083333333333336
live,boolq,llm:rushing,0.7,56.388888888888886,56.388888888888886,60.69444444444444,56.388888888888886,61.66666666666666,54.166666666666664,57.08333333333333,60.0,73.75,64.16666666666667,53.888888888888886,51.24999999999999,67.22222222222221,50.69444444444444,50.69444444444444,53.888888888888886,58.75,61.944444444444436
