bin,n,self,race,aip,majority,race_worse_than_self,aip_worse_than_self,majority_worse_than_self
"(0.2, 0.5]",112.0,0.4875,0.6791294642857143,0.6351562499999999,0.6811383928571428,0.24107142857142858,0.20535714285714285,0.15178571428571427
"(0.5, 0.6]",140.0,0.64,0.9019642857142858,0.7335714285714285,0.7238392857142857,0.014285714285714285,0.2,0.18571428571428572
"(0.6, 0.7]",77.0,0.7125,0.8672077922077923,0.7233766233766235,0.6430194805194805,0.025974025974025976,0.23376623376623376,0.36363636363636365
"(0.7, 0.8]",427.0,0.7444672131147542,0.9046252927400468,0.8080796252927399,0.6538348946135831,0.01873536299765808,0.1592505854800937,0.4098360655737705
"(0.8, 0.9]",784.0,0.8316294642857143,0.9171364795918369,0.7865943877551022,0.7365688775510204,0.012755102040816327,0.23341836734693877,0.37755102040816324
"(0.9, 1.01]",1484.0,0.9327594339622641,0.9498568059299192,0.8750370619946091,0.7844642857142857,0.025606469002695417,0.20013477088948786,0.3935309973045822
