benchmark,model,honest,debate,informed
arc,gemma3_1b,42.5,44.2,47.5
arc,granite33_2b,74.2,71.7,75.0
arc,llama32_1b,51.7,51.7,54.2
arc,olmo2_1b,35.8,33.3,63.3
arc,qwen25_1p5b,69.2,71.7,75.8
arc,smollm2_1p7b,50.0,58.3,70.0
boolq,gemma3_1b,72.5,66.2,62.5
boolq,granite33_2b,80.0,81.2,82.5
boolq,llama32_1b,63.7,73.8,68.8
boolq,olmo2_1b,62.5,63.7,65.0
boolq,qwen25_1p5b,85.0,80.0,83.8
boolq,smollm2_1p7b,70.0,63.7,81.2
